,course_title,subject,num_lectures,num_reviews,content_duration,price
0,The Web Developer Bootcamp,Web Development,342,27445,43.0,200
1,The Complete Web Developer Course 2.0,Web Development,304,22412,30.5,200
2,Angular 4 (formerly Angular 2) - The Complete Guide,Web Development,329,19649,22.0,190
3,JavaScript: Understanding the Weird Parts,Web Development,85,16976,11.5,175
4,Modern React with Redux,Web Development,150,15117,26.5,180
5,Learn and Understand AngularJS,Web Development,55,11580,7.0,175
6,Learn and Understand NodeJS,Web Development,98,11123,13.0,195
7,Learn HTML5 Programming From Scratch,Web Development,45,8629,10.5,0
8,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,Web Development,194,8341,9.5,150
9,Pianoforall - Incredible New Way To Learn Piano & Keyboard,Musical Instruments,362,7676,30.0,200
10,Build Responsive Real World Websites with HTML5 and CSS3,Web Development,77,7106,12.0,195
11,Web Design for Web Developers: Build Beautiful Websites!,Web Development,20,6512,3.0,0
12,The Complete ASP.NET MVC 5 Course,Web Development,138,6357,7.5,190
13,Build Your First Website in 1 Week with HTML5 and CSS3,Web Development,30,5924,3.0,0
14,HTML and CSS for Beginners - Build a Website & Launch ONLINE,Web Development,50,5660,6.0,0
15,Javascript Essentials,Web Development,41,5590,8.5,0
16,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),Web Development,329,4675,18.0,190
17,Practical PHP: Master the Basics and Code Dynamic Websites,Web Development,45,4598,6.5,0
18,Ultimate Web Designer & Developer Course: Build 23 Projects!,Web Development,246,4434,32.5,200
19,Accounting in 60 Minutes - A Brief Introduction,Business Finance,16,4397,1.5,0
20,The Complete JavaScript Course: Build a Real-World Project,Web Development,113,4340,17.5,195
21,PHP for Beginners -Become a PHP Master - Project Included,Web Development,286,4316,30.5,200
22,Quickstart AngularJS,Web Development,17,4047,1.5,0
23,The Complete Ruby on Rails Developer Course,Web Development,283,3809,31.5,195
24,Advanced React and Redux,Web Development,119,3326,12.0,140
25,Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,Web Development,111,3166,8.5,150
26,Docker Technologies for DevOps and Developers,Web Development,44,3137,3.0,30
27,Complete Guitar System - Beginner to Advanced,Musical Instruments,310,2713,34.0,145
28,ES6 Javascript: The Complete Developer's Guide,Web Development,68,2709,6.5,80
29,Stock Market Investing for Beginners,Business Finance,15,2698,1.5,0
30,Beginner to Pro in Excel: Financial Modeling and Valuation,Business Finance,138,2697,7.5,195
31,Learn Responsive Web Development from Scratch,Web Development,24,2692,4.5,0
32,Learn Javascript & JQuery From Scratch,Web Development,10,2685,2.0,30
33,Learn Object Oriented PHP By Building a Complete Website,Web Development,32,2618,4.5,0
34,Web Development By Doing: HTML / CSS From Scratch,Web Development,21,2575,1.0,0
35,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Business Finance,52,2476,5.5,195
36,Become a Web Developer from Scratch,Web Development,197,2408,27.5,120
37,The Ultimate Drawing Course - Beginner to Advanced,Graphic Design,62,2379,11.0,150
38,The Complete Financial Analyst Course 2017,Business Finance,174,2347,10.0,195
39,Guitar Super System Level 1,Musical Instruments,104,2257,5.0,50
40,Graphic Design - An Overview of the Field,Graphic Design,12,2215,1.0,0
41,AngularJS JumpStart with Dan Wahlin,Web Development,113,2144,10.0,75
42,Bootstrap 4 Quick Start: Code Modern Responsive Websites,Web Development,13,2104,3.0,0
43,The Complete WordPress Website Business Course,Web Development,89,1981,20.5,150
44,Build Websites from Scratch with HTML & CSS,Web Development,77,1955,8.0,145
45,AngularJS For Beginners,Web Development,53,1948,3.0,0
46,Webpack 2: The Complete Developer's Guide,Web Development,56,1893,5.5,75
47,Python and Django Full Stack Web Developer Bootcamp,Web Development,191,1883,31.5,200
48,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,Web Development,80,1846,5.5,50
49,PHP with Laravel for beginners - Become a Master in Laravel,Web Development,308,1838,29.5,150
50,The Complete Web Developer Masterclass: Beginner To Advanced,Web Development,316,1813,51.0,195
51,Photoshop In-Depth: Master all of Photoshop's Tools Easily,Graphic Design,45,1779,4.5,0
52,Graphic Design Bootcamp,Graphic Design,65,1740,8.0,200
53,Web Design for Beginners: Real World Coding in HTML & CSS,Web Development,58,1724,9.0,100
54,Beginner Photoshop to HTML5 and CSS3,Web Development,22,1716,2.0,0
55,Sketch 3 from A to Z: Become an App Designer,Graphic Design,42,1629,3.5,75
56,Professional Logo Design in Adobe Illustrator,Graphic Design,45,1563,7.5,0
57,Understanding TypeScript,Web Development,137,1560,7.0,110
58,The Complete Web Developer Bootcamp - Beginner to Expert,Web Development,197,1548,21.5,190
59,Introduction to Financial Modeling,Business Finance,8,1463,1.5,0
60,Git a Web Developer Job: Mastering the Modern Workflow,Web Development,61,1445,15.0,200
61,Financial Accounting - A Brief Introduction,Business Finance,17,1440,1.0,0
62,Meteor and React for Realtime Apps,Web Development,111,1384,9.0,140
63,The Complete Elixir and Phoenix Bootcamp,Web Development,123,1375,14.5,50
64,Learn  Bootstrap Development By Building 10 Projects,Web Development,74,1358,13.5,60
65,Learn E-Commerce Website in PHP & MySQL From Scratch!,Web Development,87,1342,17.5,0
66,The Professional Guitar Masterclass,Musical Instruments,136,1340,9.5,200
67,Advanced Javascript,Web Development,26,1304,3.5,200
68,The Complete Developers Guide to MongoDB,Web Development,129,1286,13.5,150
69,Learn PHP Fundamentals From Scratch,Web Development,9,1236,2.0,0
70,ASP.Net MVC Quick Start,Web Development,65,1234,5.5,0
71,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,Web Development,144,1225,20.0,195
72,Spring Framework 4 And Dependency Injection For Beginners,Web Development,16,1220,1.5,0
73,The Complete Web Development Course -  Build 15 Projects,Web Development,384,1213,76.5,200
74,Options Trading - How to Win with Weekly Options,Business Finance,25,1190,1.0,115
75,Getting Started with Playing Guitar,Musical Instruments,26,1141,4.0,0
76,"Introduction to Finance, Accounting, Modeling and Valuation",Business Finance,61,1118,4.5,200
77,Black Algo Trading: Build Your Trading Robot,Business Finance,227,1113,16.0,200
78,Learn AngularJS Step By Step,Web Development,21,1112,1.5,20
79,The Docker for DevOps course: From development to production,Web Development,110,1111,7.5,25
80,MongooseJS Essentials - Learn MongoDB for Node.js,Web Development,8,1106,0.7333333333333333,0
81,EMMET Faster HTML & CSS workflow - Best Tool For Developers ,Web Development,20,1097,1.0,0
82,Become a Certified Web Developer,Web Development,185,1090,12.0,100
83,AngularJS Authentication: Secure Your App with Auth0,Web Development,13,1080,1.0,0
84,Free Beginner Electric Guitar Lessons,Musical Instruments,95,1042,4.5,0
85,Figure Drawing From Life Using The Reilly Technique.,Graphic Design,22,1041,2.5,0
86,Introduction to Voice Design with Amazon's Alexa,Web Development,6,1036,0.6833333333333333,0
87,Accelerated JavaScript Training,Web Development,126,1017,7.5,110
88,Create An HTML5 Video Player From Scratch,Web Development,12,1005,1.5,0
89,Learn Nodejs by building 12 projects,Web Development,90,997,16.0,50
90,Beginning Oracle WebLogic for Administrators,Web Development,7,989,0.7,0
91,GraphQL with React: The Complete Developers Guide,Web Development,114,987,13.0,150
92,Options Trading Basics (3-Course Bundle),Business Finance,45,985,11.0,180
93,The complete JavaScript developer: MEAN stack zero-to-hero,Web Development,53,983,11.5,75
94,Serverless Architecture on Amazon Web Services,Web Development,8,978,0.55,0
95,Servlets and JSPs Tutorial: Learn Web Applications With Java,Web Development,64,970,10.0,35
96,Sass Workflow,Web Development,21,945,3.0,0
97,Learn Angular 2 Development By Building 12 Apps,Web Development,80,941,12.0,50
98,Complete Python Web Course: Build 8 Python Web Apps,Web Development,173,941,16.0,110
99,Bitcoin or How I Learned to Stop Worrying and Love Crypto,Business Finance,24,936,8.0,0
100,All about NodeJS,Web Development,133,931,15.5,50
101,Complete GST Course & Certification - Grow Your CA Practice,Business Finance,274,923,39.0,75
102,ExpressJS Fundamentals,Web Development,9,914,1.0,0
103,PHP OOP: Object Oriented Programming for beginners + Project,Web Development,221,901,18.0,200
104,Como Investir em Ações para Iniciantes,Business Finance,18,890,1.0,0
105,React Redux React-Router: From Beginner to Paid Professional,Web Development,60,876,6.5,20
106,The Complete HTML & CSS Course - From Novice To Professional,Web Development,84,874,7.5,195
107,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,Business Finance,42,872,5.5,200
108,Accelerated ES6 JavaScript Training,Web Development,114,850,6.0,110
109,Build Enterprise Applications with Angular 2 (and Angular 4),Web Development,135,848,9.5,190
110,React and Flux Web Development for Beginners,Web Development,63,836,11.0,100
111,Build a Real-world App with ASP.NET Core and Angular 2 (4+),Web Development,160,828,10.5,190
112,React JS and Redux - Mastering Web Apps,Web Development,77,820,5.0,60
113,【１日でマスター！】今日からはじめる資産形成,Business Finance,14,819,1.0,20
114,The Complete Investment Banking Course 2017,Business Finance,110,809,5.5,195
115,Beginners Binary Options Course,Business Finance,14,799,1.5,0
116,"Coding for Entrepreneurs: Learn Python, Django, and More.",Web Development,251,799,45.0,195
117,Stock Market Foundations,Business Finance,9,794,2.0,0
118,"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",Web Development,73,783,8.0,95
119,Angular 2+ with Typescript - Essential Training,Web Development,66,780,3.0,195
120,Introduction to Piano - By PGN Piano!,Musical Instruments,8,772,0.6666666666666666,0
121,Anatomy for Figure Drawing: Mastering the Human Figure,Graphic Design,65,754,68.5,95
122,Master the Basics of HTML5 & CSS3: Beginner Web Development,Web Development,38,750,3.0,0
123,The Original Complete Web Developer Course.,Web Development,195,742,18.0,20
124,Photoshop for Entrepreneurs - Design 11 Practical Projects,Graphic Design,63,737,5.0,200
125,REST APIs with Flask and Python,Web Development,115,737,12.5,110
126,Object Oriented Programming (OOP) in PHP - Build An OOP Site,Web Development,36,721,2.0,20
127,"LEARN HARMONICA, amaze your friends and have fun - it's easy",Musical Instruments,131,718,15.5,200
128,Algorithmic Trading In Forex: Create Your First Forex Robot!,Business Finance,40,713,6.5,185
129,Forex Basics,Business Finance,26,712,3.5,0
130,Excel Crash Course: Master Excel for Financial Analysis,Business Finance,40,689,3.5,105
131,Learn HTML & CSS: How To Start Your Web Development Career,Web Development,60,689,4.5,0
132,Javascript - From Beginner to Pro-Build real world JS apps,Web Development,77,688,11.5,195
133,Javascript for Beginners Learn by Doing Practical Exercises,Web Development,29,685,3.5,100
134,"Learn SVG Animation - With HTML, CSS & Javascript",Web Development,22,680,1.5,65
135,The Professional Ruby on Rails Developer,Web Development,96,676,17.0,100
136,JavaScript the Basics - JavaScript for Beginners,Web Development,93,674,9.0,120
137,The Complete Piano & Music Theory Beginners Course,Musical Instruments,23,665,1.5,50
138,Web Development w/ Google’s Go (golang) Programming Language,Web Development,171,662,19.0,65
139,The Complete Sass & SCSS Course: From Beginner to Advanced,Web Development,41,660,4.0,195
140,"Beginner API development in Node, Express, ES6, & MongoDB",Web Development,65,655,18.5,165
141,Primeros Pasos con Photoshop CC,Graphic Design,31,654,2.5,0
142,How to Design a Logo - a Beginners Course,Graphic Design,41,650,2.5,30
143,Corporate Finance - A Brief Introduction,Business Finance,17,649,1.5,0
144,Financial Analysis:  A Recipe for Success,Business Finance,14,635,1.5,0
145,Backbone Tutorial: Learn Backbonejs from Scratch,Web Development,60,634,5.5,90
146,Projects in AngularJS - Learn by building 10 Projects,Web Development,77,629,14.5,40
147,Complete ASP NET MVC Web Development - Newbie to Ninja!,Web Development,66,627,9.0,195
148,Angular 4: From Theory to Practice & FREE E-Book,Web Development,129,622,15.5,200
149,Fundamentals of Forex Trading,Business Finance,23,620,1.0,0
150,Projects In JavaScript & JQuery,Web Development,50,620,9.0,60
151,HTML Complete Course - Beginner to Expert,Web Development,28,615,1.5,0
152,1 Hour JavaScript,Web Development,18,602,1.0,200
153,"Comprehensive Guide to Financial Markets, Investing &Trading",Business Finance,79,600,9.0,60
154,Accounting & Financial Statement Analysis: Complete Training,Business Finance,43,594,3.0,150
155,Angular 2 Crash Course with TypeScript,Web Development,74,589,4.0,100
156,Building An E-Commerce Store Using Java Spring Framework,Web Development,61,589,14.5,95
157,Hedge Fund Trading System,Business Finance,12,584,1.0,0
158,"Quote Images for Pinterest, Facebook, & Instagram",Graphic Design,18,576,1.0,0
159,Projects in PHP and MySQL,Web Development,88,570,23.0,60
160,REST WCF Service in ASP.NET,Web Development,5,561,0.6833333333333333,0
161,Invierte en la Bolsa Mexicana y de USA,Business Finance,40,547,5.5,200
162,PSD To a Creative Landing Page Using Twitter Bootstrap 3,Web Development,20,546,4.0,0
163,The Complete Bootstrap Masterclass Course - Build 4 Projects,Web Development,67,540,7.0,195
164,Modern Web Development with Laravel 5.2 (PHP Framework),Web Development,71,536,12.0,120
165,Full-Stack Web Apps with Meteor and React,Web Development,162,531,31.5,85
166,ChatBots: Messenger ChatBot with API.AI and Node.JS,Web Development,64,529,4.5,50
167,Ethereum Developer: Build A Decentralised Blockchain App,Web Development,38,527,3.5,195
168,Learn Angular 2 from Beginner to Advanced,Web Development,67,526,10.0,195
169,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,Web Development,24,525,4.0,75
170,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,Web Development,24,525,4.0,75
171,Running a Web Development Business: The Complete Guide,Web Development,98,525,19.5,150
172,Learn to Build Websites using Twitter Bootstrap,Web Development,12,523,2.5,0
173,How to Draw Cute Cartoon Characters,Graphic Design,26,522,2.0,55
174,Learn Angular 4 from Scratch,Web Development,11,522,1.5,0
175,Learn to Use jQuery UI Widgets,Web Development,9,521,1.0,0
176,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Business Finance,50,518,5.0,150
177,1 Hour HTML,Web Development,20,514,1.0,200
178,PHP MVC Framework CodeIgniter Tutorial for Beginners Project,Web Development,125,508,10.5,100
179,"Forex Strategies: Kelly Criterion, Larry Williams and more!",Business Finance,32,506,3.0,185
180,Angular 4 (2+) Crash Course for Beginners,Web Development,120,506,9.0,120
181,Stock Trading Ninja: Complete System For Trading Success,Business Finance,38,497,4.5,155
182,The Ultimate Beginner's Guide to Django,Web Development,82,497,9.0,200
183,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,Web Development,58,490,5.5,20
184,Professional Python Web Development Using Flask,Web Development,102,489,14.5,120
185,"Build Realtime Apps | React Js, Golang & RethinkDB",Web Development,48,482,3.0,60
186,Logo Design Essentials ,Graphic Design,12,481,0.7,20
187,Logo Design Masterclass: Learn Logo Design + Illustrator,Graphic Design,85,479,6.5,200
188,Code a 'Coming Soon' Landing Page in Bootstrap 4,Web Development,18,473,1.5,0
189,Angular 2 From The Ground Up,Web Development,87,471,11.5,30
190,Photoshop para novatos:  ¡desde cero hasta experto!,Graphic Design,134,470,12.0,150
191,Create Stunning Infographics to Share your Ideas,Graphic Design,7,470,0.5,0
192,Illustrator CC para novatos: ¡desde cero hasta experto! ,Graphic Design,96,466,11.0,150
193,8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,Web Development,132,466,16.0,100
194,PHP for Beginners: How to Build an E-Commerce Store,Web Development,138,463,14.5,100
195,How to Win 97% of Your Options Trades,Business Finance,26,461,1.5,125
196,The Full Stack Web Development,Web Development,207,453,33.0,60
197,The Complete JavaScript Course For Web Development Beginners,Web Development,46,450,4.0,195
198,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,Business Finance,80,449,6.5,45
199,Ultimate Photoshop Training: From Beginner to Pro,Graphic Design,150,447,11.5,200
200,Bitcoin For Beginners: Your Quick Start Guide To Bitcoin,Business Finance,15,444,1.0,0
201,Master ECMAScript 2015 (ES6),Web Development,37,441,2.5,0
202,JavaScript from Beginner to Expert,Web Development,92,439,12.5,125
203,Ultimate AngularJS: Build a Real-World App from Scratch,Web Development,49,438,5.5,100
204,Teoria Basica del Arte. Como Pintar Ilustraciones Digitales,Graphic Design,26,437,1.0,20
205,Write PHP Like a Pro: Build a PHP MVC Framework From Scratch,Web Development,65,435,3.0,70
206,AngularJS Custom Directives with Dan Wahlin,Web Development,61,434,6.0,75
207,Typographic Logos: Typography and Lettering for Logo Design,Graphic Design,20,427,1.5,25
208,Automate Web Development With Gulp JS,Web Development,29,425,3.5,20
209,Learn how to double your Forex Trading Account in one trade,Business Finance,36,424,2.5,60
210,Discover How to Draw and paint Comics,Graphic Design,85,424,62.0,65
211,Learn to Design a Letterhead - A Beginners Course,Graphic Design,13,423,0.7333333333333333,0
212,The Ultimate Web Developer How To Guide,Web Development,281,423,22.5,200
213,Dissecting Ruby on Rails 5 - Become a Professional Developer,Web Development,212,418,37.5,195
214,JavaScript for Beginning Web Developers,Web Development,33,416,4.5,75
215,Ultimate WordPress Plugin Course,Web Development,49,415,9.0,100
216,Introduction to CSS Development,Web Development,25,415,2.0,0
217,Angular 2 & TypeScript Beginner Web Development,Web Development,133,414,19.5,200
218,Joomla 3 - The Basics,Web Development,17,411,3.0,0
219,Introduction to Laravel 4,Web Development,22,411,2.5,0
220,Play Piano in 30 Days! - Start Playing NOW!,Musical Instruments,58,410,3.0,0
221,Learn To Build Beautiful HTML5 And CSS3 Websites In 1 Month,Web Development,80,407,11.0,50
222,Learn how to quickly build websites using Wordpress,Web Development,28,406,3.5,0
223,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,Business Finance,57,402,5.0,150
224,Reactive JS:  Are you ready for the next big paradigm shift?,Web Development,28,401,5.5,60
225,React From The Ground Up,Web Development,62,401,12.5,150
226,Getting Started with Angular 2+,Web Development,14,401,2.0,0
227,Get started playing blues harmonica,Musical Instruments,23,398,0.6166666666666667,0
228,Build a DCF Model from Scratch,Business Finance,5,395,0.5166666666666666,0
229,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",Web Development,53,395,7.0,20
230,JavaScript for Absolute Beginners,Web Development,17,394,2.0,20
231,Bootstrap Basics: Program Responsive Websites,Web Development,28,393,3.0,75
232,The Essential Web Developer Course - Build 12 Websites,Web Development,177,390,16.5,200
233,Digital Art for Beginners,Graphic Design,57,388,15.0,150
234,Joomla: Create a Joomla Website This Weekend With NO CODING!,Web Development,30,386,2.0,0
